"Notes"	"Month"	"Month Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Feb., 1999"	"1999/02"	"Maryland"	"24"	135	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Massachusetts"	"25"	111	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Michigan"	"26"	222	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Minnesota"	"27"	123	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Mississippi"	"28"	44	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Missouri"	"29"	125	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Montana"	"30"	18	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Nebraska"	"31"	34	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Nevada"	"32"	17	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"New Hampshire"	"33"	38	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"New Jersey"	"34"	216	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"New Mexico"	"35"	55	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"New York"	"36"	361	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"North Carolina"	"37"	187	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"North Dakota"	"38"	12	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Ohio"	"39"	305	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Oklahoma"	"40"	72	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Oregon"	"41"	86	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Pennsylvania"	"42"	325	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Rhode Island"	"44"	25	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"South Carolina"	"45"	94	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"South Dakota"	"46"	14	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Tennessee"	"47"	112	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Texas"	"48"	423	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Utah"	"49"	42	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Vermont"	"50"	19	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Virginia"	"51"	123	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Washington"	"53"	113	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"West Virginia"	"54"	54	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Wisconsin"	"55"	106	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Alabama"	"01"	136	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Arizona"	"04"	104	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Arkansas"	"05"	65	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"California"	"06"	631	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Colorado"	"08"	55	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Connecticut"	"09"	65	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Delaware"	"10"	13	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"District of Columbia"	"11"	23	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Florida"	"12"	404	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Georgia"	"13"	138	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Hawaii"	"15"	16	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Idaho"	"16"	19	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Illinois"	"17"	268	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Indiana"	"18"	153	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Iowa"	"19"	69	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Kansas"	"20"	62	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Kentucky"	"21"	115	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Louisiana"	"22"	192	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Maine"	"23"	24	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Maryland"	"24"	127	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Massachusetts"	"25"	132	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Michigan"	"26"	241	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Minnesota"	"27"	123	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Mississippi"	"28"	53	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Missouri"	"29"	160	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Montana"	"30"	19	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Nebraska"	"31"	33	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Nevada"	"32"	25	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"New Hampshire"	"33"	31	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"New Jersey"	"34"	216	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"New Mexico"	"35"	43	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"New York"	"36"	324	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"North Carolina"	"37"	208	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"North Dakota"	"38"	12	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Ohio"	"39"	354	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Oklahoma"	"40"	98	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Oregon"	"41"	74	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Pennsylvania"	"42"	351	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Rhode Island"	"44"	24	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"South Carolina"	"45"	117	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"South Dakota"	"46"	19	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Tennessee"	"47"	135	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Texas"	"48"	419	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Utah"	"49"	36	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Vermont"	"50"	19	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Virginia"	"51"	150	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Washington"	"53"	112	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"West Virginia"	"54"	58	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Wisconsin"	"55"	116	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Wyoming"	"56"	14	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Alabama"	"01"	119	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Arizona"	"04"	88	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Arkansas"	"05"	47	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"California"	"06"	554	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Colorado"	"08"	42	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Connecticut"	"09"	47	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Delaware"	"10"	15	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"District of Columbia"	"11"	17	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Florida"	"12"	340	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Georgia"	"13"	121	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Hawaii"	"15"	17	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Idaho"	"16"	16	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Illinois"	"17"	253	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Indiana"	"18"	159	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Iowa"	"19"	47	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Kansas"	"20"	54	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Kentucky"	"21"	113	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Louisiana"	"22"	139	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Maine"	"23"	29	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Maryland"	"24"	108	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Massachusetts"	"25"	116	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Michigan"	"26"	189	Not Applicable	Not Applicable
